City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
148,Saint-Gaudens,43.0833,0.6667,57.0,93,90,6.91,FR,overcast clouds
149,Pisco,-13.7,-76.2167,68.0,83,0,10.36,PE,clear sky
150,Dunmore Town,25.5,-76.65,75.02,67,100,19.82,BS,overcast clouds
151,Hovd,48.0056,91.6419,44.06,36,100,7.07,MN,overcast clouds
152,Padang,-0.9492,100.3543,76.12,92,100,7.36,ID,overcast clouds
153,Waddan,29.1614,16.139,89.31,11,0,11.1,LY,clear sky
154,Waipawa,-41.4122,175.5153,48.2,76,90,3.44,NZ,overcast clouds
155,Fort Myers Beach,26.452,-81.9481,89.01,48,40,12.66,US,scattered clouds
156,Saint George,37.1041,-113.5841,55.99,58,20,5.75,US,few clouds
157,Nouakchott,18.0858,-15.9785,71.6,68,0,20.71,MR,clear sky
158,Bentiu,9.2333,29.8333,90.1,32,84,5.08,SS,broken clouds
159,Puerto Escondido,15.85,-97.0667,86.0,74,1,6.91,MX,clear sky
160,Ponta Do Sol,32.6667,-17.1,63.0,80,100,1.99,PT,overcast clouds
161,Geraldton,-28.7667,114.6,57.2,82,32,3.44,AU,scattered clouds
162,Outlook,51.5001,-107.0513,57.2,36,76,11.5,CA,broken clouds
163,Tasiilaq,65.6145,-37.6368,35.6,80,75,4.61,GL,broken clouds
164,Kulhudhuffushi,6.6221,73.07,84.33,70,100,6.76,MV,overcast clouds
165,Arkhipo-Osipovka,44.37,38.52,48.97,93,64,2.98,RU,broken clouds
166,Coihaique,-45.5752,-72.0662,55.4,94,90,8.88,CL,moderate rain
167,Sibutad,8.6127,123.4802,78.39,81,100,7.36,PH,overcast clouds
168,Berea,41.3662,-81.8543,78.01,38,75,16.11,US,broken clouds
169,Saint Anthony,45.0205,-93.218,54.0,66,1,10.36,US,light rain
170,Hualmay,-11.0964,-77.6139,70.81,76,89,12.86,PE,overcast clouds
171,Zhicheng,30.2956,111.5047,62.01,88,86,4.56,CN,light rain
172,Chuy,-33.6971,-53.4616,65.79,51,0,10.65,UY,clear sky
173,Save,8.0425,2.486,82.22,72,100,12.35,BJ,overcast clouds
174,Nurota,40.5614,65.6886,69.8,35,0,9.22,UZ,clear sky
175,Terra Nova,-12.3667,-40.6667,84.2,51,0,8.05,BR,clear sky
176,Koprivnica,46.1628,16.8275,46.99,90,100,3.85,HR,overcast clouds
177,Boa Vista,2.8197,-60.6733,78.8,73,75,4.61,BR,light rain
178,Mar Del Plata,-38.0023,-57.5575,69.01,52,20,10.36,AR,few clouds
179,Copiapo,-27.3667,-70.3333,69.8,49,0,12.66,CL,clear sky
180,Abdanan,32.9926,47.4198,68.9,49,100,4.94,IR,overcast clouds
181,Esso,55.9333,158.7,27.82,96,100,1.83,RU,overcast clouds
182,Ganzhou,28.8184,115.4327,63.61,93,99,3.15,CN,light rain
183,Saint-Francois,46.4154,3.9054,64.4,45,0,4.61,FR,clear sky
184,Mount Gambier,-37.8333,140.7667,50.0,100,90,3.44,AU,fog
185,Sakakah,29.9697,40.2064,75.2,17,0,6.91,SA,clear sky
186,Oriximina,-1.7656,-55.8661,82.42,80,100,3.13,BR,overcast clouds
187,Altayskoye,51.9533,85.3325,48.58,82,100,9.13,RU,light rain
188,Paamiut,61.994,-49.6678,36.05,82,0,18.23,GL,clear sky
189,Pontarlier,46.8333,6.25,53.01,50,30,2.3,FR,scattered clouds
190,Port Elizabeth,-33.918,25.5701,62.6,82,0,18.41,ZA,clear sky
191,La Palma,33.8464,-118.0467,66.2,48,40,10.36,US,scattered clouds
192,Tessalit,20.1986,1.0114,96.01,8,8,3.42,ML,clear sky
193,Belorechensk,44.76,39.87,53.6,76,40,6.71,RU,scattered clouds
194,East London,-33.0153,27.9116,64.4,68,0,8.05,ZA,clear sky
195,Bembereke,10.2283,2.6634,86.25,34,100,2.62,BJ,overcast clouds
196,Dikson,73.5069,80.5464,32.09,97,100,16.55,RU,overcast clouds
197,Komsomolskiy,40.4272,71.7189,68.0,32,0,4.61,UZ,clear sky
198,Srednekolymsk,67.45,153.6833,13.41,91,100,3.09,RU,overcast clouds
199,Korgen,66.0771,13.8153,37.99,64,40,9.22,NO,scattered clouds
200,Tamandare,-8.7597,-35.1047,81.9,74,15,8.39,BR,few clouds
201,Broken Hill,-31.95,141.4333,55.4,54,44,5.75,AU,scattered clouds
202,Port Augusta,-32.5,137.7667,50.0,93,14,5.75,AU,few clouds
203,Tecpatan,17.1333,-93.3,93.2,40,40,2.3,MX,smoke
204,Broome,42.2506,-75.833,71.01,32,1,3.44,US,clear sky
205,Charters Towers,-20.1,146.2667,61.39,84,0,5.82,AU,clear sky
206,Pevek,69.7008,170.3133,6.55,97,97,3.42,RU,overcast clouds
207,Ballina,-28.8667,153.5667,59.0,94,40,8.05,AU,scattered clouds
208,Manta,-0.95,-80.7333,84.2,61,90,8.05,EC,overcast clouds
209,Itarema,-2.9248,-39.9167,83.23,72,17,12.91,BR,few clouds
210,Leshukonskoye,64.8989,45.7622,28.81,88,100,7.0,RU,overcast clouds
211,Roald,62.5833,6.1333,41.0,70,20,13.8,NO,few clouds
212,Dong Xoai,11.5333,106.9167,75.43,92,100,3.22,VN,overcast clouds
213,Canutama,-6.5339,-64.3831,82.62,83,83,2.86,BR,broken clouds
