City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Maragogi,BR,81.03,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
422,Trairi,BR,82.83,clear sky,-3.2778,-39.2689,janelas do mar
423,Wanning,CN,75.31,broken clouds,18.8003,110.3967,Paradise Hotel
424,Sinnamary,GF,76.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
427,Ormara,PK,82.33,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
430,Tayoltita,MX,79.9,broken clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
440,Iberia,US,82.4,broken clouds,29.9502,-91.7507,back to back rv park
441,Sidrolandia,BR,78.8,clear sky,-20.9319,-54.9614,Agropet São Francisco
442,Puerto Madryn,AR,75.33,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
445,Ambon,ID,80.33,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
446,Greenwood,US,81.0,few clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
448,Hong Gai,VN,77.0,light rain,20.956,107.0946,Hạ Long DC Hotel
453,Candelaria,PH,75.0,overcast clouds,13.9311,121.4233,Casa de Provincia
454,Paita,PE,82.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
455,Hamilton,US,82.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
456,Kilindoni,TZ,80.6,light rain,-7.9139,39.6668,Bustani B&B
457,Mahibadhoo,MV,83.8,broken clouds,3.7833,72.9667,Omadhoo Inn
464,Bani Walid,LY,80.98,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
467,Carutapera,BR,82.18,overcast clouds,-1.195,-46.02,Lidera
469,Muyuka,CM,84.2,moderate rain,4.2898,9.4103,Muyuka Motor Park (El Paso)
474,Marawi,PH,75.0,broken clouds,7.9986,124.2928,Derogongan Residence
476,Francisco Sa,BR,84.47,broken clouds,-16.4758,-43.4883,Amaralina Hotel
479,Tual,ID,83.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
489,Odweyne,SO,78.35,clear sky,9.4092,45.06399999999999,Eng Hiirey House
491,Kavaratti,IN,84.27,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
496,Taft,IR,78.8,few clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
499,Takoradi,GH,82.47,overcast clouds,4.8845,-1.7554,Raybow International Hotel
501,Kanodar,IN,80.6,overcast clouds,24.1,72.3833,Chaudhary Complex
505,Sorong,ID,81.72,overcast clouds,-0.8833,131.25,waigo splash hotel
507,San Juan Ixcoy,GT,80.6,few clouds,15.5997,-91.4453,hotel Hacienda Real
509,Bubaque,GW,78.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
512,Nizwa,OM,83.55,scattered clouds,22.9333,57.5333,Orient Apartments
534,Cilegon,ID,80.6,few clouds,-6.0174,106.0538,Amaris Hotel Cilegon
536,Sao Jose Da Coroa Grande,BR,81.54,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
537,Bonthe,SL,82.42,broken clouds,7.5264,-12.505,Bonthe Holiday Village
540,Lindi,TZ,77.0,broken clouds,-10.0,39.7167,Lindi paradise house
541,Pemangkat,ID,77.58,overcast clouds,1.1667,108.9667,Ramah Kost KITA
542,Kudahuvadhoo,MV,82.83,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
544,Xuddur,SO,81.79,overcast clouds,4.1213,43.8894,Banjanay Hotel
548,Lobito,AO,80.08,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
551,Kloulklubed,PW,75.2,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
563,Ilebo,CD,76.28,broken clouds,-4.3167,20.5833,Hôtel BUMAK
568,Dingle,PH,75.33,light rain,10.9995,122.6711,SEGAYA PROPERTY
585,Baghmara,IN,83.79,clear sky,23.795,86.2085,Shankar tea shop
599,Biak,ID,76.06,few clouds,-0.9131,122.8766,Penginapan Kim
600,Belmonte,BR,80.6,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
607,Mecca,SA,82.94,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
615,Abonnema,NG,80.92,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
616,Beruwala,LK,80.85,scattered clouds,6.4788,79.9828,The Palms Hotel
621,Basco,PH,75.76,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
631,Asuncion,PY,75.2,clear sky,-25.3007,-57.6359,Crowne Plaza Asuncion
632,Neiafu,TO,80.6,light rain,-18.65,-173.9833,Mystic Sands
633,Vung Tau,VN,82.29,broken clouds,10.345999999999998,107.0843,Green hotel
634,Eydhafushi,MV,83.88,broken clouds,5.1033,73.0708,Soneva Fushi
637,Alyangula,AU,75.2,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
640,Eyl,SO,84.04,clear sky,7.9803,49.8164,Amiin Hotel
647,Moerai,PF,77.97,broken clouds,-22.4333,-151.3333,Le Manotel
649,Nabire,ID,77.11,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
651,Wilmington,US,81.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
654,Cap Malheureux,MU,78.01,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
657,Carroll,US,81.0,few clouds,39.5501,-77.0164,Best Western Westminster Hotel
670,Karratha,AU,76.84,clear sky,-20.7377,116.8463,ibis Styles Karratha
671,Buchanan,LR,84.2,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
675,Tezu,IN,78.62,overcast clouds,27.9167,96.1667,Circuit House
689,Paso De Patria,AR,75.0,clear sky,-27.2454,-58.5454,"Posada Pasito's III, Paso de Patria Ñeembucú"
690,Garden City,US,82.4,overcast clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
697,Alice Town,BS,76.46,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
698,Bambari,CF,81.72,broken clouds,5.768,20.6757,Hotel-Restaurant BIBICH
699,Isabela,PH,77.0,scattered clouds,6.7085,121.9711,Isawad Resort
